,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
0,LA BIBLE DU FOUR: 500 Recettes incontournables Pour cuisiner au quotidien,"['Broché 12,90€€', 'Format Kindle 5,99€€']","3,0",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03089651HHFCTPYGXHLT&url=%2FBIBLE-DU-FOUR-incontournables-quotidien%2Fdp%2FB08FNJK61W%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brobot%2Brecettes%2Bminceur%26qid%3D1618535335%26sr%3D8-49-spons%26psc%3D1&qualifier=1618535335&id=4249260215195297&widgetName=sp_atf_next
1,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61€€', 'Format Kindle 5,99€€']","4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brobot%2Brecettes%2Bminceur%26qid%3D1618535335%26sr%3D8-50-spons%26psc%3D1&qualifier=1618535335&id=4249260215195297&widgetName=sp_atf_next
2,Bowlfood Minceur - Mes petites recettes à index glycémiques bas,"['Broché 14,90€€']","3,7",17,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05498852YZLWFQYRWK03&url=%2FBowlfood-Minceur-petites-recettes-glyc%25C3%25A9miques%2Fdp%2F2359344749%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brobot%2Brecettes%2Bminceur%26qid%3D1618535335%26sr%3D8-51-spons%26psc%3D1&qualifier=1618535335&id=4249260215195297&widgetName=sp_atf_next
3,Les Bienfaits des aliments lactofermentés,"['Broché 14,90€€']","4,8",8,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0549697G6N80QXFQFC7&url=%2FBienfaits-aliments-lactoferment%25C3%25A9s-Philippe-Chavanne%2Fdp%2F2359344730%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brobot%2Brecettes%2Bminceur%26qid%3D1618535335%26sr%3D8-52-spons%26psc%3D1&qualifier=1618535335&id=4249260215195297&widgetName=sp_atf_next
4,Recettes friteuse à air: Découvrez la cuisine rapide avec 101 recettes friteuse sans huile ; Recettes faciles et délicieuses pour des repas rapides et sains (livre de cuisine facile),"['Broché 9,90€€', 'Format Kindle 3,99€€']","3,7",176,https://www.amazon.fr//Recettes-friteuse-air-D%C3%A9couvrez-d%C3%A9licieuses/dp/1796390879/ref=sr_1_53?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-53
5,Un chef dans ma cuisine avec Thermomix: 9 chefs revisitent les meilleures recette Thermomix !,"['Format Kindle 33,99€€', 'Relié 34,95€€']","4,7",120,https://www.amazon.fr//chef-dans-cuisine-avec-Thermomix/dp/2035955807/ref=sr_1_54?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-54
6,Recettes au Thermomix,"['Broché 6,95€€']","4,2",51,https://www.amazon.fr//Recettes-au-Thermomix-Sylvie-Girard/dp/2263159967/ref=sr_1_55?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-55
7,Ma boulangerie maison avec Companion,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,6",503,https://www.amazon.fr//Ma-boulangerie-maison-avec-Companion/dp/2035970350/ref=sr_1_56?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-56
8,"En 1 heure, je cuisine mes lunchs box pour toute la semaine","['Broché 19,95€€']","4,3",216,https://www.amazon.fr//heure-cuisine-lunchs-toute-semaine/dp/2017084581/ref=sr_1_57?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-57
9,Hélène Ségara : mes recettes 100 % plaisir et bien-être,"['Relié 15,90€€']","3,9",89,https://www.amazon.fr//H%C3%A9l%C3%A8ne-S%C3%A9gara-recettes-plaisir-bien-%C3%AAtre/dp/250113625X/ref=sr_1_58?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-58
10,20 minutes en cuisine avec Companion,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,5",155,https://www.amazon.fr//20-minutes-cuisine-avec-Companion/dp/2035986273/ref=sr_1_59?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-59
11,WW Healthy Kitchen - Apéros super facile,"['Broché 7,95€€']","4,2",64,https://www.amazon.fr//WW-Healthy-Kitchen-Ap%C3%A9ros-facile/dp/2501149092/ref=sr_1_60?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-60
12,"90 Recettes Cookeo Incontournables au Quotidien: Les meilleures recettes à réaliser, courtes et rapides au quotidien.","['Broché 9,92€€', 'Format Kindle 4,90€€']","3,9",38,https://www.amazon.fr//Recettes-Cookeo-Incontournables-Quotidien-meilleures-ebook/dp/B0852PT4ZM/ref=sr_1_61?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-61
13,Desserts faciles avec Companion,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,6",273,https://www.amazon.fr//Desserts-faciles-Companion-Juliette-Lalbaltry/dp/203597013X/ref=sr_1_62?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-62
14,Simplissime: Le livre de cuisine le + facile du monde,"['Relié 19,95€€', 'Format Kindle 14,99€€']","4,4",1737,https://www.amazon.fr//Simplissime-livre-cuisine-facile-monde/dp/2013963653/ref=sr_1_63?dchild=1&keywords=livre+robot+recettes+minceur&qid=1618535335&sr=8-63
