,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
0,"Jus, la cure détox et minceur","['Broché 15,90€€']","4,0",331,https://www.amazon.fr//Jus-cure-d%C3%A9tox-minceur-Cross/dp/2035905737/ref=sr_1_49?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-49
1,Gâteaux et douceurs à indice glycémique bas,"['Poche 12,00€€', 'Format Kindle 8,40€€']","4,4",324,https://www.amazon.fr//G%C3%A2teaux-douceurs-%C3%A0-IG-bas/dp/2360981994/ref=sr_1_50?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-50
2,La bible officielle du cookeo: 200 recettes incontournables pour cuisiner au quotidien,"['Relié 19,95€€']","4,7",3280,https://www.amazon.fr//bible-officielle-cookeo-incontournables-quotidien/dp/2035961025/ref=sr_1_51?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-51
3,Recettes équilibrées sans se ruiner avec Cookeo,"['Broché 9,95€€']","4,5",295,https://www.amazon.fr//Recettes-%C3%A9quilibr%C3%A9es-sans-ruiner-Cookeo/dp/2035986257/ref=sr_1_52?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-52
4,Les recettes cultes de Big Will,"['Broché 19,90€€']","4,6",524,https://www.amazon.fr//recettes-cultes-Big-Will/dp/2263161279/ref=sr_1_53?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-53
5,Mon livre de recettes Poke Bowl | 100 recettes à remplir: Livre de cuisine à compléter,"['Broché 9,50€€']","5,0",1,https://www.amazon.fr//livre-recettes-Poke-Bowl-remplir/dp/B08L41B4X6/ref=sr_1_54?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-54
6,Mincir sainement avec le régime Okinawa: Les secrets pour vivre en forme jusqu’à 100 ans et plus - Inclus 21 recettes minceur,"['Broché 8,99€€', 'Format Kindle 4,99€€']","3,9",104,https://www.amazon.fr//Mincir-sainement-avec-r%C3%A9gime-Okinawa-ebook/dp/B01B4MIVXU/ref=sr_1_55?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-55
7,"MES 100 RECETTES GRAINES DE CHIA MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Bypass I gastroplastie I sleeve I mixée","['Broché 9,40€€']",None,None,https://www.amazon.fr//RECETTES-GRAINES-CHIA-MINCEUR-gastroplastie/dp/B08BW8M2RQ/ref=sr_1_56?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-56
8,Ma cuisine au robot-cuiseur - 150 recettes faciles et rapides,"['Broché 7,95€€']","4,4",759,https://www.amazon.fr//Ma-cuisine-robot-cuiseur-recettes-faciles/dp/2412028184/ref=sr_1_57?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-57
9,Mes petites recettes magiques 100% jus détox,"['Broché 6,00€€', 'Format Kindle 4,99€€', 'Poche 6,00€€']","4,2",392,https://www.amazon.fr//petites-recettes-magiques-100-d%C3%A9tox/dp/B078FFX769/ref=sr_1_58?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-58
