,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
10,Les secrets de la cuisine à indice glycémique bas,"['Broché 22,00€€']","4,4",214,https://www.amazon.fr//secrets-cuisine-IG-bas-silhouette/dp/2360982435/ref=sr_1_59?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-59
11,Le grand livre de la cuisine japonaise,"['Relié 29,95€€']","4,7",497,https://www.amazon.fr//grand-livre-cuisine-japonaise/dp/231701077X/ref=sr_1_60?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-60
12,Recettes light inratables !,"['Format Kindle 14,99€€', 'Relié 19,95€€']","4,7",63,https://www.amazon.fr//Recettes-light-inratables-No%C3%A9mie-Strouk/dp/203593396X/ref=sr_1_61?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-61
13,"Régime keto: Découvrez la céto cuisine avec un plan de repas de 28 jours + 121 recettes cétogènes novatrices, délicieuses et inratables pour régime cétogène et régime Low-Carb. Recettes keto faciles","['Format Kindle 2,99€€', 'Broché 9,90€€']","3,5",739,https://www.amazon.fr//R%C3%A9gime-keto-novatrices-d%C3%A9licieuses-inratables-ebook/dp/B07MB6VG5B/ref=sr_1_62?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-62
14,Companion recettes légères,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,5",354,https://www.amazon.fr//Companion-recettes-l%C3%A9g%C3%A8res-Coralie-Ferreira/dp/2035961122/ref=sr_1_63?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-63
15,200 menus équilibrés à moins de 2 euros,"['Broché 5,90€€', 'Format Kindle 3,99€€']","4,1",193,https://www.amazon.fr//200-menus-%C3%A9quilibr%C3%A9s-moins-euros/dp/2263050035/ref=sr_1_64?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-64
16,Plats du soir avec cookeo,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,5",282,https://www.amazon.fr//Plats-du-soir-avec-cookeo/dp/2295008891/ref=sr_1_65?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-65
17,Les Recettes du régime IG,"['Broché 14,90€€', 'Format Kindle 9,99€€']","4,2",93,https://www.amazon.fr//Recettes-du-r%C3%A9gime-IG/dp/2365490956/ref=sr_1_66?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-66
18,"Recettes Minceur avec Thermomix: 80 recettes minceur à réaliser en deux temps, trois mouvements au Thermomix®.","['Broché 9,39€€', 'Format Kindle 4,90€€']",None,None,https://www.amazon.fr//Recettes-Minceur-avec-Thermomix-Thermomix%C2%AE-ebook/dp/B08XNT9X2Q/ref=sr_1_67?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-67
19,Simplissime - Les recettes au cuit-vapeur les + faciles du monde,"['Format Kindle 5,49€€', 'Relié 7,95€€']","4,3",397,https://www.amazon.fr//Simplissime-recettes-cuit-vapeur-faciles-monde/dp/2019497859/ref=sr_1_68?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-68
20,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Broché 7,87€€', 'Format Kindle 2,99€€']","3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-69-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_mtf
21,Mon Agenda minceur: objectif 90 jours journal motivant de suivi de regime 100 pages format pratique A5,"['Broché 6,99€€']","3,0",1,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08406002KUTCSW2IWF9H&url=%2FMon-Agenda-minceur-objectif-motivant%2Fdp%2FB08NTST58K%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-70-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_mtf
22,Agenda minceur 90 jours - mon suivi alimentaire détaillé: v2-1 Cahier régime | 90 jours pour maigrir | carnet regime à compléter sur 90 jours | 21cm x ... broché | planificateur fond gris anthracite,"['Broché 7,99€€']",None,None,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0855182SSS683KFQT2I&url=%2FAgenda-minceur-jours-alimentaire-planificateur%2Fdp%2FB08C94RKBT%2Fref%3Dsr_1_71_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-71-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_mtf
23,La méthode 10/10 : ce livre fait perdre 10 kg et vivre 10 ans de plus,"['Format Kindle 9,99€€', 'Broché 24,90€€']","3,7",649,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03759771BJ25AE9X5VX7&url=%2Fm%25C3%25A9thode-10-livre-perdre-vivre%2Fdp%2FB01LR5C5B8%2Fref%3Dsr_1_72_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-72-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_mtf
24,Régime Keto: Découvrez 105 recettes cétogènes délicieuses et inratables !,"['Broché 9,58€€', 'Format Kindle 4,90€€']",None,None,https://www.amazon.fr//R%C3%A9gime-Keto-D%C3%A9couvrez-d%C3%A9licieuses-inratables/dp/B08ZF5SG9C/ref=sr_1_73?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-73
25,230 recettes gourmandes pour mincir sur mesure,"['Broché 16,90€€']","4,3",177,https://www.amazon.fr//recettes-gourmandes-pour-mincir-mesure/dp/2226241558/ref=sr_1_74?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-74
26,"La cuisine à IG bas, c'est bon pour moi !","['Format Kindle 8,99€€', 'Broché 12,90€€']","4,6",266,https://www.amazon.fr//cuisine-bas-cest-bon-pour/dp/2035972493/ref=sr_1_75?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-75
27,"Mes Recettes délicieuses - Cahier de Recettes à compléter: Livre de cuisine personnalisé à remplir pour 60 recettes détaillées | 2 pages par recette ... | Un cadeau idéal pour maman, mami, ..","['Broché 5,99€€']","2,0",1,https://www.amazon.fr//Mes-Recettes-d%C3%A9licieuses-personnalis%C3%A9-d%C3%A9taill%C3%A9es/dp/B087629MW6/ref=sr_1_76?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-76
28,Le nouveau Régime IG : Index Glycémique. Maigrir en maîtrisant sa glycémie,"['Format Kindle 10,99€€', 'Broché 16,00€€']","4,4",680,https://www.amazon.fr//nouveau-R%C3%A9gime-IG-Glyc%C3%A9mique-ma%C3%AEtrisant/dp/2916878629/ref=sr_1_77?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-77
29,Superbowls les repas santé & équilibrés,"['Broché 9,95€€']","4,5",305,https://www.amazon.fr//Superbowls-repas-%C3%A9quilibr%C3%A9s-Quitterie-Pasquesoone/dp/2035926513/ref=sr_1_78?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-78
30,100 Recettes à dévorer - Cuisine minceur pour les gourmands,"['Broché 4,99€€']","4,0",200,https://www.amazon.fr//100-Recettes-d%C3%A9vorer-Cuisine-gourmands/dp/2263067752/ref=sr_1_79?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-79
31,150 recettes light au robot-cuiseur,"['Broché 7,95€€', 'Format Kindle 5,99€€']","4,3",160,https://www.amazon.fr//150-recettes-light-au-robot-cuiseur/dp/2412042756/ref=sr_1_80?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-80
32,"En 2h je cuisine pour toute la semaine : 80 repas faits maison, sans gâchis et avec des produits de saison (Hors Collection Cuisine)","['Broché 24,95€€', 'Format Kindle 16,99€€']","4,3",1109,https://www.amazon.fr//cuisine-pour-toute-semaine-Collection-ebook/dp/B07KBDS2XV/ref=sr_1_81?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-81
33,En 2H je cuisine light pour toute la semaine,"['Broché 19,95€€', 'Format Kindle 14,99€€']","4,3",936,https://www.amazon.fr//cuisine-light-pour-toute-semaine/dp/2017059757/ref=sr_1_82?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-82
34,Dash minceur,"['Broché 18,00€€']","3,8",17,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_83?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-83
35,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99€€']","5,0",1,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQVY7HN/ref=sr_1_84?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-84
36,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61€€', 'Format Kindle 5,99€€']","4,5",15,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Alimentaire-Comprenant-Intermittent/dp/B08DSSZFV3/ref=sr_1_85?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-85
37,Cuisine légère NE - 1001 recettes,"['Relié 9,95€€']","3,9",37,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-NE-1001-recettes/dp/2263149252/ref=sr_1_86?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-86
38,Mangez sain mangez bien avec Cookeo,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,5",345,https://www.amazon.fr//Mangez-sain-mangez-bien-Cookeo/dp/2035955173/ref=sr_1_87?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-87
39,4 saisons sans gluten & sans lait. 101 recettes pour se régaler en famille: Apprenez à cuisiner sans gluten et sans lait pour la santé et le plaisir (Recettes santé),"['Broché 14,99€€', 'Format Kindle 9,99€€']","4,0",131,https://www.amazon.fr//saisons-gluten-recettes-r%C3%A9galer-famille-ebook/dp/B00RVWPWDA/ref=sr_1_88?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-88
40,La Grande Cuisine Minceur,"['Relié 1,76€€', 'Poche 1,48€€', 'Broché 16,00€€']","3,7",46,https://www.amazon.fr//Grande-Cuisine-Minceur-Michel-GU%C3%89RARD/dp/2221112970/ref=sr_1_89?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-89
41,Matcha,"['Poche 6,20€€', 'Broché 39,20€€', 'Format Kindle 5,99€€']","4,2",24,https://www.amazon.fr//Matcha-Clea/dp/2842213491/ref=sr_1_90?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-90
42,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99€€']",None,None,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXLW5D/ref=sr_1_91?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-91
43,Eaux détox,"['Relié 7,99€€', 'Format Kindle 5,99€€']","4,5",185,https://www.amazon.fr//Eaux-d%C3%A9tox-Jessie-Kanelos-Weiner/dp/2501115139/ref=sr_1_92?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-92
44,"Recettes Cétogènes: 77 recettes délicieuses – Petit-déjeuner, déjeuner, dîner, smoothies, desserts","['Format Kindle 2,99€€', 'Broché 6,98€€']","3,8",399,https://www.amazon.fr//Recettes-C%C3%A9tog%C3%A8nes-d%C3%A9licieuses-Petit-d%C3%A9jeuner-smoothies-ebook/dp/B074Z17T24/ref=sr_1_93?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-93
45,"MES 100 RECETTES CUISINE RAPIDE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Maigrir I Mincir I Perdre du poid I","['Broché 9,40€€']","1,0",1,https://www.amazon.fr//MES-RECETTES-CUISINE-RAPIDE-MINCEUR/dp/B08BWFVXZL/ref=sr_1_94?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-94
46,"Le Minceur: Plus de 100 pages - Moins de Kilo - Livre de Recettes à Remplir - 8,5 × 11 pouces - Un Grand Format pour Maigrir","['Broché 5,99€€']",None,None,https://www.amazon.fr//Minceur-Recettes-Remplir-pouces-Maigrir/dp/B08924C48N/ref=sr_1_95?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-95
47,Les Recettes minceur de Sybille Montignac,"['Broché 18,50€€']","3,9",21,https://www.amazon.fr//Recettes-minceur-Sybille-Montignac/dp/2359344307/ref=sr_1_96?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-96
48,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"['Broché 9,89€€', 'Format Kindle 4,90€€']","5,0",2,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_97?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-97
49,Le meilleur régime du monde: Le meilleur régime du monde : Dietary Approaches to Stop Hypertension,"['Broché 18,00€€', 'Format Kindle 12,99€€']","4,0",107,https://www.amazon.fr//DASH-meilleur-Dietary-Approaches-Hypertension/dp/B011QKRTIS/ref=sr_1_98?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-98
50,Recettes: 25 recettes de cookies faciles et gourmandes (Livre de recettes: biscuits),"['Format Kindle 2,60€€', 'Broché 8,07€€']","2,8",7,https://www.amazon.fr//Recettes-recettes-cookies-gourmandes-biscuits-ebook/dp/B07CNVGCXK/ref=sr_1_99?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-99
51,Régime Keto pour débutants: Défi de 21 jours pour convertir votre corps en une machine à brûler les graisses pour vivre plus sainement + 75 Recettes Cétogènes Adaptées (Régime Cétogène),"['Broché 7,99€€', 'Format Kindle 3,99€€']","3,8",60,https://www.amazon.fr//R%C3%A9gime-Keto-pour-d%C3%A9butants-convertir/dp/1713287668/ref=sr_1_100?dchild=1&keywords=livre+recettes+minceur&qid=1618528094&sr=8-100
52,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Broché 7,95€€', 'Format Kindle 3,95€€']","3,7",393,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09823072S7BINM3N0QL3&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-efficacement-programme-connaisseurs%2Fdp%2FB087SN2SSW%2Fref%3Dsr_1_101_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-101-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
53,"LE RÉGIME ANTI-INFLAMMATOIRE: Programme de 10 semaines et plus de 200 recettes de guérison pour lutter contre l'inflammation et renforcer votre système immunitaire, du petit-déjeuner au dîner","['Broché 15,81€€', 'Format Kindle 7,97€€']","3,6",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08841553ELT6Y3AH4S2D&url=%2FR%25C3%2589GIME-ANTI-INFLAMMATOIRE-linflammation-immunitaire-petit-d%25C3%25A9jeuner%2Fdp%2FB08W7SQGCG%2Fref%3Dsr_1_102_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-102-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
54,Mincir sainement avec le régime Okinawa: Les secrets pour vivre en forme jusqu’à 100 ans et plus - Inclus 21 recettes minceur,"['Broché 8,99€€', 'Format Kindle 4,99€€']","3,9",104,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A040933810YLKLVJPA4UE&url=%2FMincir-sainement-avec-r%25C3%25A9gime-Okinawa-ebook%2Fdp%2FB01B4MIVXU%2Fref%3Dsr_1_103_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-103-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
55,"L’Alimentation Santé: Les super-aliments qui soignent - diététique, régimes santé, diétothérapie, prévention et bien-être avec les alicaments","['Format Kindle 2,99€€']","4,2",7,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A008036324IX3BT8E5O6D&url=%2FVotre-sant%25C3%25A9-est-dans-lassiette-ebook%2Fdp%2FB01E94HAXW%2Fref%3Dsr_1_104_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-104-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
56,Top Recettes - Livre de recettes à remplir: v1-2 Carnet de recettes à personnaliser | 125 pages 60 fiches recettes sur 2 pages | Grand Format | fond marron,"['Broché 7,99€€']",None,None,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A091060531SPUF3E68E3L&url=%2FTop-Recettes-recettes-remplir-personnaliser%2Fdp%2FB08B325DZD%2Fref%3Dsr_1_105_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-105-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
57,Carnet suivi perte de poids | Fitness Edition - 365 jours suivi simple et efficace : Suivre chaque jour l’évolution de vos objectifs minceur ou santé,"['Broché 6,93€€']","3,9",3,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A034455636K5FBE5RY1MC&url=%2FCarnet-suivi-perte-poids-Fitness%2Fdp%2FB08HGNS644%2Fref%3Dsr_1_106_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-106-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
58,"Mon Agenda Minceur: Carnet pré-rempli pour 60 jours de suivi de votre régime, avec un bilan complet à faire chaque semaine pour évaluer votre progression","['Broché 6,89€€']","5,0",1,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0832783WU6KYETH8GC1&url=%2FMon-Agenda-Minceur-pr%25C3%25A9-rempli-progression%2Fdp%2FB08X69SJHT%2Fref%3Dsr_1_107_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-107-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
59,Régime Alimentaire À Faible Teneur En Glucides Pour Débutants: Le Guide Ultime Du Régime À Faible Teneur En Glucides - Ce Qu'il Faut Manger Et Éviter + 50 Recettes Éprouvées Pour Perdre Du Poids,"['Format Kindle 6,95€€', 'Broché 19,95€€']","4,0",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A104685733AO4M1KK0X8I&url=%2FR%25C3%25A9gime-Alimentaire-Faible-Glucides-D%25C3%25A9butants%2Fdp%2F1774351196%2Fref%3Dsr_1_108_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618528094%26sr%3D8-108-spons%26psc%3D1&qualifier=1618528094&id=8047977371079927&widgetName=sp_btf
60,Ma boulangerie maison avec Companion,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,6",503,https://www.amazon.fr//Ma-boulangerie-maison-avec-Companion/dp/2035970350/ref=sr_1_97?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-97
61,Carnet suivi perte de poids | Fitness Edition - 365 jours suivi simple et efficace : Suivre chaque jour l’évolution de vos objectifs minceur ou santé,"['Broché 6,93€€']","3,9",3,https://www.amazon.fr//Carnet-suivi-perte-poids-Fitness/dp/B08HGNS644/ref=sr_1_98?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-98
62,"En 1 heure, je cuisine mes lunchs box pour toute la semaine","['Broché 19,95€€']","4,3",216,https://www.amazon.fr//heure-cuisine-lunchs-toute-semaine/dp/2017084581/ref=sr_1_99?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-99
63,"MES 100 JUS DETOX RECETTE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I concombre I brule graisse I Maigrir","['Broché 9,40€€']",None,None,https://www.amazon.fr//MES-100-DETOX-RECETTE-MINCEUR/dp/B08BWGQ84K/ref=sr_1_100?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-100
64,Mieux manger toute l'année - 2020,"['Format Kindle 14,99€€', 'Broché 19,90€€']","4,5",1498,https://www.amazon.fr//Mieux-manger-toute-lann%C3%A9e-2020-ebook/dp/B08465P9C9/ref=sr_1_101?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-101
65,Eau Détox🍹| Mincir et Purifier son Organisme avec 30+ Recettes Simples et Rapides. 3ème Édition,"['Broché 11,98€€', 'Format Kindle  2,99€€']","4,5",13,https://www.amazon.fr//D%C3%A9tox%F0%9F%8D%B9-Purifier-Organisme-Recettes-Rapides/dp/1698628943/ref=sr_1_102?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-102
66,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture de légumes 2148","['Broché 5,99€€']","4,4",459,https://www.amazon.fr//Mon-planificateur-menus-alimentaire-Couverture/dp/1700812149/ref=sr_1_103?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-103
67,Mes Jus de Légumes - recettes à l'extracteur: Carnet de recettes à compléter de vos 100 jus de légumes et fruits préférés | livre de 60 pages | format 15.24 x 22.86 cm,"['Broché 5,99€€']","1,0",2,https://www.amazon.fr//Mes-Jus-L%C3%A9gumes-lextracteur-compl%C3%A9ter/dp/B085RTKHJ5/ref=sr_1_104?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-104
68,Objectif ventre plat 5 minutes par jour pendant 1 mois,"['Broché 12,95€€']","4,3",170,https://www.amazon.fr//Objectif-ventre-plat-minutes-pendant/dp/2755640871/ref=sr_1_105?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-105
69,100 recettes gourmandes sans sel,"['Format Kindle 9,49€€', 'Broché 14,00€€']","3,7",16,https://www.amazon.fr//100-recettes-gourmandes-sans-sel/dp/2733913387/ref=sr_1_106?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-106
70,Les recettes minceur de la coach des stars,"['Broché 15,55€€']","3,8",38,https://www.amazon.fr//recettes-minceur-coach-stars/dp/0615137520/ref=sr_1_107?dchild=1&keywords=livre+recettes+minceur&qid=1618528095&sr=8-107
