,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
19,Les soupes minceur,"['Broché 14,90€€']","3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-69-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_mtf
20,"Tout faire soi-même cuisine - DIY gourmand et zéro déchet : recettes pour faire du pain, du fromage, des yaourts, de la bière, du kéfir","['Broché 9,95€€']","4,5",57,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0145027377S6BXGTD9P9&url=%2FCuisine-faire-soi-m%25C3%25AAme-Rapha%25C3%25ABle-VIDALING%2Fdp%2FB0766C82H1%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-70-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_mtf
21,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90€€']","4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_71_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-71-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_mtf
22,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Format Kindle 5,99€€', 'Broché 13,61€€']","4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_72_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-72-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_mtf
23,"Miam-ô-5, Miam-ô-fruit: 80 recettes dynamisantes, faciles et pas chères","['Format Kindle 11,99€€', 'Broché 15,90€€']",None,None,https://www.amazon.fr//Miam-%C3%B4-5-Miam-%C3%B4-fruit-recettes-dynamisantes-faciles/dp/2268105253/ref=sr_1_73?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-73
24,150 recettes light au robot-cuiseur,"['Broché 7,95€€', 'Format Kindle 5,99€€']","4,3",160,https://www.amazon.fr//150-recettes-light-au-robot-cuiseur/dp/2412042756/ref=sr_1_74?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-74
25,Recettes: Livre De Recettes: Recettes santés simples et délicieuses,"['Format Kindle 0,00€€', 'Broché 8,37€€']","3,9",201,https://www.amazon.fr//Recettes-Livre-sant%C3%A9s-simples-d%C3%A9licieuses-ebook/dp/B06Y5WV9TR/ref=sr_1_75?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-75
26,Les Recettes minceur de Sybille Montignac,"['Broché 18,50€€']","3,9",21,https://www.amazon.fr//Recettes-minceur-Sybille-Montignac/dp/2359344307/ref=sr_1_76?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-76
27,"Recettes cétogène: 77 recettes délicieuses – Petit-déjeuner, déjeuner, dîner, smoothies, desserts","['Broché 6,98€€', 'Format Kindle 2,99€€']","3,8",399,https://www.amazon.fr//Recettes-c%C3%A9tog%C3%A8ne-d%C3%A9licieuses-Petit-d%C3%A9jeuner-smoothies/dp/1975651472/ref=sr_1_77?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-77
28,Mes petites recettes magiques 100% jus détox,"['Broché 6,00€€', 'Format Kindle 4,99€€', 'Poche 6,00€€']","4,2",392,https://www.amazon.fr//petites-recettes-magiques-100-d%C3%A9tox/dp/B078FFX769/ref=sr_1_78?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-78
