,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
20,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Broché 7,87€€', 'Format Kindle 2,99€€']","3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618529736%26sr%3D8-69-spons%26psc%3D1&qualifier=1618529736&id=7058618276968941&widgetName=sp_mtf
21,Mon Agenda minceur: objectif 90 jours journal motivant de suivi de regime 100 pages format pratique A5,"['Broché 6,99€€']","3,0",1,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08406002KUTCSW2IWF9H&url=%2FMon-Agenda-minceur-objectif-motivant%2Fdp%2FB08NTST58K%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618529736%26sr%3D8-70-spons%26psc%3D1&qualifier=1618529736&id=7058618276968941&widgetName=sp_mtf
22,Agenda minceur 90 jours - mon suivi alimentaire détaillé: v2-1 Cahier régime | 90 jours pour maigrir | carnet regime à compléter sur 90 jours | 21cm x ... broché | planificateur fond gris anthracite,"['Broché 7,99€€']",None,None,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0855182SSS683KFQT2I&url=%2FAgenda-minceur-jours-alimentaire-planificateur%2Fdp%2FB08C94RKBT%2Fref%3Dsr_1_71_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618529736%26sr%3D8-71-spons%26psc%3D1&qualifier=1618529736&id=7058618276968941&widgetName=sp_mtf
23,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Broché 7,95€€', 'Format Kindle 3,95€€']","3,7",393,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A09823072S7BINM3N0QL3&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-efficacement-programme-connaisseurs%2Fdp%2FB087SN2SSW%2Fref%3Dsr_1_72_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618529736%26sr%3D8-72-spons%26psc%3D1&qualifier=1618529736&id=7058618276968941&widgetName=sp_mtf
24,"La cuisine à IG bas, c'est bon pour moi !","['Format Kindle 8,99€€', 'Broché 12,90€€']","4,6",266,https://www.amazon.fr//cuisine-bas-cest-bon-pour/dp/2035972493/ref=sr_1_73?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-73
25,Le nouveau Régime IG : Index Glycémique. Maigrir en maîtrisant sa glycémie,"['Broché 16,00€€', 'Format Kindle 10,99€€']","4,4",680,https://www.amazon.fr//nouveau-R%C3%A9gime-IG-Glyc%C3%A9mique-ma%C3%AEtrisant/dp/2916878629/ref=sr_1_74?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-74
26,Superbowls les repas santé & équilibrés,"['Broché 9,95€€']","4,5",305,https://www.amazon.fr//Superbowls-repas-%C3%A9quilibr%C3%A9s-Quitterie-Pasquesoone/dp/2035926513/ref=sr_1_75?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-75
27,100 Recettes à dévorer - Cuisine minceur pour les gourmands,"['Broché 4,99€€']","4,0",200,https://www.amazon.fr//100-Recettes-d%C3%A9vorer-Cuisine-gourmands/dp/2263067752/ref=sr_1_76?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-76
28,150 recettes light au robot-cuiseur,"['Format Kindle 5,99€€', 'Broché 7,95€€']","4,3",160,https://www.amazon.fr//150-recettes-light-au-robot-cuiseur/dp/2412042756/ref=sr_1_77?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-77
29,En 2H je cuisine light pour toute la semaine,"['Broché 19,95€€', 'Format Kindle 14,99€€']","4,3",936,https://www.amazon.fr//cuisine-light-pour-toute-semaine/dp/2017059757/ref=sr_1_78?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-78
30,Dash minceur,"['Broché 18,00€€']","3,8",17,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_79?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-79
31,Simplissime desserts: Le livre de desserts les + faciles du monde,"['Format Kindle 10,99€€', 'Relié 14,95€€']","4,5",522,https://www.amazon.fr//Simplissime-desserts-livre-faciles-monde/dp/2011356431/ref=sr_1_80?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-80
32,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99€€']","5,0",1,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQVY7HN/ref=sr_1_81?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-81
33,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Format Kindle 5,99€€', 'Broché 13,61€€']","4,5",15,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Alimentaire-Comprenant-Intermittent/dp/B08DSSZFV3/ref=sr_1_82?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-82
34,Cuisine légère NE - 1001 recettes,"['Relié 9,95€€']","3,9",37,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-NE-1001-recettes/dp/2263149252/ref=sr_1_83?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-83
35,Mangez sain mangez bien avec Cookeo,"['Format Kindle 7,99€€', 'Broché 9,95€€']","4,5",345,https://www.amazon.fr//Mangez-sain-mangez-bien-Cookeo/dp/2035955173/ref=sr_1_84?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-84
36,La Grande Cuisine Minceur,"['Broché 16,00€€', 'Poche 1,48€€', 'Relié 1,76€€']","3,7",46,https://www.amazon.fr//Grande-Cuisine-Minceur-Michel-GU%C3%89RARD/dp/2221112970/ref=sr_1_85?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-85
37,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99€€']",None,None,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXLW5D/ref=sr_1_86?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-86
38,Eaux détox,"['Format Kindle 5,99€€', 'Relié 7,99€€']","4,5",185,https://www.amazon.fr//Eaux-d%C3%A9tox-Jessie-Kanelos-Weiner/dp/2501115139/ref=sr_1_87?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-87
39,"MES 100 RECETTES CUISINE RAPIDE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Maigrir I Mincir I Perdre du poid I","['Broché 9,40€€']","1,0",1,https://www.amazon.fr//MES-RECETTES-CUISINE-RAPIDE-MINCEUR/dp/B08BWFVXZL/ref=sr_1_88?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-88
40,"Le Minceur: Plus de 100 pages - Moins de Kilo - Livre de Recettes à Remplir - 8,5 × 11 pouces - Un Grand Format pour Maigrir","['Broché 5,99€€']",None,None,https://www.amazon.fr//Minceur-Recettes-Remplir-pouces-Maigrir/dp/B08924C48N/ref=sr_1_89?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-89
41,Les Recettes minceur de Sybille Montignac,"['Broché 18,50€€']","3,9",21,https://www.amazon.fr//Recettes-minceur-Sybille-Montignac/dp/2359344307/ref=sr_1_90?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-90
42,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"['Broché 9,89€€', 'Format Kindle 4,90€€']","5,0",2,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_91?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-91
43,Le meilleur régime du monde: Le meilleur régime du monde : Dietary Approaches to Stop Hypertension,"['Broché 18,00€€', 'Format Kindle 12,99€€']","4,0",107,https://www.amazon.fr//DASH-meilleur-Dietary-Approaches-Hypertension/dp/B011QKRTIS/ref=sr_1_92?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-92
44,"Recettes cétogène: 77 recettes délicieuses – Petit-déjeuner, déjeuner, dîner, smoothies, desserts","['Format Kindle 2,99€€', 'Broché 6,98€€']","3,8",399,https://www.amazon.fr//Recettes-c%C3%A9tog%C3%A8ne-d%C3%A9licieuses-Petit-d%C3%A9jeuner-smoothies/dp/1975651472/ref=sr_1_93?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-93
45,Régime Keto pour débutants: Défi de 21 jours pour convertir votre corps en une machine à brûler les graisses pour vivre plus sainement + 75 Recettes Cétogènes Adaptées (Régime Cétogène),"['Broché 7,99€€', 'Format Kindle 3,99€€']","3,8",60,https://www.amazon.fr//R%C3%A9gime-Keto-pour-d%C3%A9butants-convertir/dp/1713287668/ref=sr_1_94?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-94
46,Carnet suivi perte de poids | Fitness Edition - 365 jours suivi simple et efficace : Suivre chaque jour l’évolution de vos objectifs minceur ou santé,"['Broché 6,93€€']","3,9",3,https://www.amazon.fr//Carnet-suivi-perte-poids-Fitness/dp/B08HGNS644/ref=sr_1_95?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-95
47,"En 1 heure, je cuisine mes lunchs box pour toute la semaine","['Broché 19,95€€']","4,3",216,https://www.amazon.fr//heure-cuisine-lunchs-toute-semaine/dp/2017084581/ref=sr_1_96?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-96
